,id,year,doy,longitude,latitude,grid10k,covertype,fuelcode,area_burned,prefire_fuel,consumed_fuel,ECO2,ECO,ECH4,EPM2.5,cwd_frac,duff_frac,fuel_moisture_class,burn_source,burnday_source,BSEV,BSEV_flag
8104,139551225.0,2015.0,121.0,-82.9161,29.2935,23873.0,3.0,1140.0,62500.0,7646.952224,3842.452183,6432.264954,295.8688180000001,8.645517,45.725181,0.008856999999999999,0.084716,2.0,4.0,15.0,2.0,1.0
8105,139615128.0,2015.0,63.0,-81.675,29.1215,23424.0,3.0,1140.0,62500.0,7646.952224,3842.452183,6432.264954,295.8688180000001,8.645517,45.725181,0.008856999999999999,0.084716,2.0,1.0,77.0,2.0,0.0
8106,139579894.0,2015.0,353.0,-90.7265,29.9479,23336.0,1.0,1.0,62500.0,210.497508,195.762682,328.294018,13.703388,0.524644,1.996779,0.0,0.0,2.0,2.0,12.0,2.0,1.0
8107,139614841.0,2015.0,264.0,-82.4041,29.2163,23417.0,1.0,1.0,62500.0,323.256024,300.628102,504.153328,21.043967,0.805683,3.066407,0.0,0.0,2.0,2.0,12.0,2.0,1.0
8108,139635890.0,2015.0,149.0,-82.6312,29.2402,23415.0,3.0,1140.0,62500.0,7646.952224,3842.452183,6432.264954,295.8688180000001,8.645517,45.725181,0.008856999999999999,0.084716,2.0,4.0,77.0,2.0,1.0
8109,139709898.0,2015.0,237.0,-82.5701,29.2167,23415.0,1.0,1.0,62500.0,236.277288,219.737878,368.500421,15.381651000000002,0.5888979999999999,2.241326,0.0,0.0,3.0,2.0,12.0,3.0,1.0
8110,139717411.0,2015.0,292.0,-90.4179,29.9032,23339.0,3.0,1600.0,62500.0,6220.097576,2410.324706,4034.883558,185.595002,5.423231,28.682864,0.038606,0.136256,2.0,2.0,12.0,3.0,1.0
8111,139725247.0,2015.0,265.0,-97.5042,30.0332,23271.0,3.0,1500.0,62500.0,4335.068543,2390.7403,4002.099263,184.087003,5.3791660000000014,28.44981,0.038183,0.050889,2.0,4.0,77.0,2.0,1.0
8112,139735929.0,2015.0,343.0,-97.211,30.0345,23273.0,1.0,1.0,62500.0,326.73069,303.859542,509.572451,21.270168,0.814344,3.099367,0.0,0.0,2.0,2.0,12.0,2.0,1.0
8113,139746170.0,2015.0,219.0,-98.0618,30.0196,23265.0,3.0,2700.0,62500.0,2639.337818,2083.795625,3238.218402,277.14481800000004,15.586791,47.51054,0.154548,0.149608,2.0,4.0,77.0,3.0,1.0
